SP25,SP50,SP100,SP75
1.4340250492095947,1.5117011070251465,1.5309958457946777,1.8591890335083008
1.4351611137390137,1.4971721172332764,1.7218451499938965,1.8727829456329346
1.4357378482818604,1.52866792678833,1.566925048828125,1.6606111526489258
1.4156808853149414,1.514603853225708,1.836359977722168,1.872791051864624
1.3974168300628662,1.4495530128479004,1.814772129058838,1.807805061340332
1.4009888172149658,1.5360698699951172,1.8380489349365234,1.758824110031128
1.403639793395996,1.5717668533325195,1.7020809650421143,1.7955119609832764
1.4000539779663086,1.4407670497894287,1.8376531600952148,1.8358979225158691
1.4369261264801025,1.5260798931121826,1.6839570999145508,1.7703139781951904
1.4414589405059814,1.5673608779907227,1.776555061340332,1.7579889297485352
1.401719093322754,1.5283260345458984,1.5174269676208496,1.790956974029541
1.395366907119751,1.495676040649414,1.7299299240112305,1.784208059310913
1.4353208541870117,1.5270330905914307,1.7838258743286133,1.8215999603271484
1.5069611072540283,1.4499940872192383,1.7388930320739746,1.8615031242370605
1.404829978942871,1.5300929546356201,1.7119710445404053,1.8953211307525635
1.400352954864502,1.4100301265716553,1.8712382316589355,1.801604986190796
1.4023878574371338,1.5215919017791748,1.672213077545166,1.767693042755127
1.443429946899414,1.5187609195709229,1.8394320011138916,1.746757984161377
1.5067520141601562,1.5207769870758057,1.7908570766448975,1.8223040103912354
1.4366509914398193,1.6894540786743164,1.8285679817199707,1.7517130374908447
1.3962390422821045,1.5238549709320068,1.7076170444488525,1.810511827468872
1.4447569847106934,1.5211429595947266,1.7087180614471436,1.8365399837493896
1.436298131942749,1.553589105606079,1.6694211959838867,1.703505039215088
1.4351489543914795,1.5472540855407715,1.7581300735473633,1.6974871158599854
1.4477760791778564,1.557844877243042,1.706974983215332,1.7887828350067139
1.5004520416259766,1.7768468856811523,1.7149450778961182,1.8822131156921387
1.4348859786987305,1.4808099269866943,1.5382938385009766,1.7671220302581787
1.4419078826904297,1.546259880065918,1.5923559665679932,1.756631851196289
1.4699640274047852,1.5668129920959473,1.5688199996948242,1.7447600364685059
1.4334049224853516,1.5830960273742676,1.551745891571045,1.8584260940551758
1.4942138195037842,1.5732848644256592,1.5744390487670898,1.8344669342041016
1.4721310138702393,1.5627410411834717,1.8725719451904297,1.8698890209197998
1.4720921516418457,1.550372838973999,1.8371391296386719,1.8433270454406738
1.4353389739990234,1.566498041152954,1.8798260688781738,1.748487949371338
1.4694418907165527,1.5158181190490723,1.8529810905456543,1.8469719886779785
1.4321870803833008,1.541579008102417,1.828136920928955,1.8074908256530762
1.4728710651397705,1.5832080841064453,1.813410997390747,1.8115220069885254
1.445939064025879,1.5671710968017578,1.706995964050293,1.8388960361480713
1.4783668518066406,1.5717291831970215,1.7132980823516846,1.786370038986206
1.5197598934173584,1.8086540699005127,1.8019540309906006,1.783046007156372
1.43355393409729,1.5495970249176025,1.736180067062378,1.7831101417541504
1.4746830463409424,1.5588998794555664,1.7588880062103271,1.7652308940887451
1.548915147781372,1.6677870750427246,1.7240989208221436,1.8208529949188232
